Descrição,CUSTOS,Data,Forma de Pg,NF-E,Status Pg,Texto,Tipo,Valor,Vencimento
Protético,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),30/04/2026,PIX,,PAGO,Ref Pac Kethlyn,LAB,"R$ 150,00",30/04/2026
Protético,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),01/06/2026,PIX,,PAGO,Ref Pac Elisa e Antonio,LAB,"R$ 350,00",01/06/2026
Protético,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),30/04/2026,PIX,,PAGO,Ref Pac Antonio Carlos,LAB,"R$ 150,00",04/05/2026
Protético,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),30/04/2026,PIX,,PAGO,Ref Paciente Felipe,LAB,"R$ 300,00",04/05/2026
Pílade,J- OUTUBRO (https://app.notion.com/p/J-OUTUBRO-836f714f09e840bda2be1500412c94b5?pvs=21),05/05/2026,CRÉDITO,,À PAGAR,,EQUIPAMENTO,"R$ 357,47",08/10/2026
Systex,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),04/05/2026,PIX,NFe33260505644129001390550000000032731709980562.pdf,PAGO,,COMPONENTES,"R$ 114,00",04/05/2026
Mercado Livre,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),11/05/2026,PIX,,PAGO,,BIOMATERIAL,"R$ 223,40",11/05/2026
Shopee,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),11/05/2026,PIX,,PAGO,,INSUMOS,"R$ 35,89",11/05/2026
Pilade,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),03/05/2026,CRÉDITO,,PAGO,,COMPONENTES,"R$ 48,69",08/06/2026
Pilade,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),03/05/2026,CRÉDITO,,PAGO,,EQUIPAMENTO,"R$ 48,69",08/07/2026
"Pílade ",F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),05/05/2026,CRÉDITO,,PAGO,Ref kit WF,EQUIPAMENTO,"R$ 357,47",08/06/2026
"Pílade ",I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),05/05/2026,CRÉDITO,,À PAGAR,,EQUIPAMENTO,"R$ 357,47",08/09/2026
"Pílade ",H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),05/05/2026,CRÉDITO,,À PAGAR,,EQUIPAMENTO,"R$ 357,47",08/08/2026
Pilade,J- OUTUBRO (https://app.notion.com/p/J-OUTUBRO-836f714f09e840bda2be1500412c94b5?pvs=21),02/05/2026,CRÉDITO,,À PAGAR,,COMPONENTES,"R$ 47,25",08/10/2026
"Pilade ",G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),02/05/2026,CRÉDITO,,PAGO,,COMPONENTES,"R$ 47,25",08/07/2026
"Pilade ",H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),02/05/2026,CRÉDITO,,À PAGAR,,COMPONENTES,"R$ 47,25",08/08/2026
Pilade,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),02/05/2026,CRÉDITO,,À PAGAR,,COMPONENTES,"R$ 47,25",08/09/2026
Shopee,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),11/05/2026,PIX,,PAGO,,INSUMOS,"R$ 18,49",11/05/2026
Shopee,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),11/05/2026,PIX,,PAGO,,INSUMOS,"R$ 29,99",11/05/2026
Pilade,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),02/05/2026,CRÉDITO,,PAGO,,INSUMOS,"R$ 13,99",08/06/2026
SYSTEX,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),14/05/2026,PIX,NFe33260505644129001390550000000034661507909898.pdf,PAGO,,COMPONENTES,"R$ 574,00",14/05/2026
Systex,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),18/05/2026,PIX,NFe33260505644129001390550000000035111180837419.pdf,PAGO,,IMPLANTE,"R$ 725,00",18/05/2026
LALAMOVE,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),18/05/2026,PIX,,PAGO,,Transporte,"R$ 62,25",18/05/2026
LALAMOVE,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),04/05/2026,PIX,,PAGO,,Transporte,"R$ 64,46",04/05/2026
Uber,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),27/05/2026,DÉBITO,,PAGO,,Transporte,"R$ 186,48",27/05/2026
Protético (1),D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),30/04/2026,PIX,,PAGO,Ref Pac Elisa,LAB,"R$ 300,00",30/04/2026
LALAMOVE,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),02/06/2026,PIX,,PAGO,,Transporte,"R$ 103,09",02/06/2026
"Systex ",F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),02/06/2026,PIX,NFe33260605644129001390550000000037671520335678.pdf,PAGO,Implante + Biomaterial,BIOMATERIAL,"R$ 430,71",02/06/2026
Protético,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),12/05/2026,PIX,,PAGO,Ref Pac Otoniel cooping,LAB,"R$ 150,00",12/05/2026
UBER,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),02/06/2026,DÉBITO,,PAGO,01/06 e 02/06,Transporte,"R$ 179,21",02/06/2026
IFOOD,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),01/06/2026,DÉBITO,,PAGO,,Alimentação,"R$ 44,73",01/06/2026
Dental Cremer,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),17/05/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 154,80",17/06/2026
Dental Cremer,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),13/05/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 159,17",12/06/2026
Dental Cremer,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),05/06/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 151,64",06/07/2026
Dental Cremer,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),05/06/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 151,64",03/09/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),05/06/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 151,64",04/08/2026
Protético,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),05/06/2026,PIX,,PAGO,"Ref pac Marcelo, Felipe, Antonio e Otoniel",LAB,"R$ 1.000,00",09/06/2026
Harmony,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),08/06/2026,PIX,DANFE_(1).pdf,PAGO,Toxina Botulinica,INSUMOS,"R$ 900,50",08/06/2026
Protético,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),16/06/2026,PIX,,PAGO,Ref Pac Lucinéia,LAB,"R$ 120,00",16/06/2026
Mercado Livre,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),02/06/2026,PIX,invoice-2000016729401668.pdf,PAGO,,BIOMATERIAL,"R$ 116,40",02/06/2026
Dental Cremer,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),13/05/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 159,16",13/07/2026
Systex,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),10/06/2026,PIX,NFe33260605644129001390550000000038761110104964.pdf,PAGO,,IMPLANTE,"R$ 1.375,00",10/06/2026
LalaMove,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),10/06/2026,PIX,,PAGO,,Transporte,"R$ 86,36",10/06/2026
Mundo da Odonto,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),17/06/2026,PIX,,PAGO,,Consultoria,"R$ 1.500,00",17/06/2026
Ifood,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),15/06/2026,PIX,,PAGO,,Alimentação,"R$ 47,99",15/06/2026
Ifood,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),03/06/2026,PIX,,PAGO,,Alimentação,"R$ 20,89",03/06/2026
Ifood,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),01/06/2026,PIX,,PAGO,,Alimentação,"R$ 25,84",01/06/2026
Uber,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),17/06/2026,DÉBITO,,PAGO,,Transporte,"R$ 227,92",17/06/2026
Lab,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),25/06/2026,PIX,,PAGO,Ref Pac Antonio e Marcelo,LAB,"R$ 400,00",25/06/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),17/06/2026,BOLETO À VISTA,,PAGO,,INSUMOS,"R$ 122,69",17/08/2026
Lab,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),14/07/2026,PIX,,PAGO,Otoniel Pedro,LAB,"R$ 150,00",14/07/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),17/06/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 122,69",03/08/2026
CODENTAL,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),09/08/2026,PIX,,PAGO,,Consultoria,"R$ 89,90",09/08/2026
Systex,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),09/07/2026,PIX,,PAGO,,IMPLANTE,"R$ 615,50",09/07/2026
Lalamove,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),09/07/2026,PIX,,PAGO,,Transporte,"R$ 47,16",09/07/2026
Uber,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),15/07/2026,DÉBITO,,PAGO,,Transporte,"R$ 332,09",15/07/2026
Consultorio,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),10/07/2026,PIX,,PAGO,,ALUGUEL,"R$ 100,00",10/07/2026
Rz Dental,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),07/07/2026,PIX,,PAGO,,COMPONENTES,"R$ 399,69",07/07/2026
CODENTAL,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),08/07/2026,PIX,,PAGO,,Consultoria,"R$ 44,95",08/07/2026
"Lab ",G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),14/07/2026,PIX,,PAGO,Otoniel Pedro,LAB,"R$ 200,00",28/07/2026
"Dental Cremer ",H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),17/06/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 122,69",17/08/2026
"Dental Cremer ",H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),18/07/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 170,88",19/08/2026
"Dental Cremer ",H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),24/07/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 176,79",24/08/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),24/07/2026,BOLETO PARCELADO,,À PAGAR,,INSUMOS,"R$ 176,78",22/09/2026
"Consultorio ",G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),17/07/2026,PIX,,PAGO,,ALUGUEL,"R$ 600,00",17/07/2026
"Consultorio ",G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),24/07/2026,PIX,,PAGO,,ALUGUEL,"R$ 300,00",31/07/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),28/07/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 168,25",27/08/2026
Dental Cremer,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),28/07/2026,BOLETO PARCELADO,,À PAGAR,,INSUMOS,"R$ 168,25",28/09/2026
Dental Cremer,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),31/07/2026,BOLETO À VISTA,,PAGO,,INSUMOS,"R$ 119,99",31/08/2026
Dental Cremer,J- OUTUBRO (https://app.notion.com/p/J-OUTUBRO-836f714f09e840bda2be1500412c94b5?pvs=21),03/08/2026,BOLETO PARCELADO,,À PAGAR,,INSUMOS,"R$ 157,73",02/10/2026
Dental Cremer,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),03/08/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 157,72",02/09/2026
Dental Cremer,K- NOVEMBRO (https://app.notion.com/p/K-NOVEMBRO-be2a5fc36130490aaf5775faf451ca13?pvs=21),03/08/2026,BOLETO PARCELADO,,À PAGAR,,INSUMOS,"R$ 157,72",03/11/2026
Dental Cremer,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),14/08/2026,BOLETO À VISTA,,À PAGAR,,INSUMOS,"R$ 119,99",14/09/2026
Dental Cremer,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),19/08/2026,BOLETO À VISTA,,À PAGAR,,INSUMOS,"R$ 68,80",18/09/2026
Consultório,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),14/08/2026,PIX,,PAGO,,ALUGUEL,"R$ 100,00",14/08/2026
Uber,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),20/08/2026,PIX,,PAGO,,Transporte,"R$ 511,73",20/08/2026
